铂电阻阻值(Rt)/mV,温度(T)/℃,超导样品电阻(R_super)/Ω
20.89,-196.69840430544764,0.0
21.57,-195.05372190401908,0.0009999999999999974
22.46,-192.89998020502748,0.0009999999999999974
23.24,-191.0113643751595,0.0009999999999999974
24.8,-187.23113622062198,0.0
24.91,-186.96443062721403,0.0
25.72,-184.99989386155764,-0.0010000000000000009
26.52,-183.0585485762474,-0.0010000000000000009
27.37,-180.9947107994925,-0.0010000000000000009
28.2,-178.97828024421744,-0.0020000000000000018
29.0,-177.03365202134452,-0.0020000000000000018
29.86,-174.94199153535797,-0.0020000000000000018
30.24,-174.01737773998846,-0.0030000000000000027
30.67,-172.97081435356256,-0.0020000000000000018
31.08,-171.97264145931516,-0.0030000000000000027
31.47,-171.02289982041452,-0.0030000000000000027
31.93,-169.90236548670015,-0.0030000000000000027
32.33,-168.92770052876472,-0.0030000000000000027
32.72,-167.97714467799727,-0.0030000000000000027
32.89,-167.5627201972852,-0.0020000000000000018
32.95,-167.41644118664863,0.002999999999999999
32.98,-167.3432994217599,0.014000000000000002
33.06,-167.14824735000366,0.023999999999999997
33.11,-167.02633436421544,0.03799999999999999
33.12,-167.0019512647693,0.028
33.17,-166.88003325590302,0.046
33.23,-166.7337261192125,0.05399999999999999
33.26,-166.6605702899931,0.062
33.41,-166.29476853142498,0.075
33.54,-165.97770984921294,0.078
34.36,-163.97714819422214,0.08099999999999999
35.16,-162.02429296680685,0.08299999999999999
35.99,-159.99706823557634,0.08499999999999999
36.81,-157.99312845996306,0.086
37.56,-156.15926343086096,0.088
